title,authors,year,abstract,pdf_link,abstract_link,domain
An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification,"Les Atlas, Toshiteru Homma, Robert Marks",1987,"An  artificial  neural  network  is  developed  to  recognize  spatio-temporal  bipolar patterns  associatively.  The  function  of a formal  neuron is  generalized by  replacing  multiplication  with  convolution,  weights  with  transfer  functions,  and  thresholding  with  nonlinear  transform  following  adaptation.  The Hebbian  learn(cid:173) ing  rule  and  the  delta  learning  rule  are  generalized  accordingly,  resulting  in  the  learning  of weights  and  delays.  The  neural  network  which  was  first  developed  for  spatial  patterns  was  thus  generalized  for  spatio-temporal  patterns.  It  was  tested  using  a  set  of bipolar input patterns  derived from  speech  signals,  showing  robust classification of 30 model phonemes.",https://papers.nips.cc/paper_files/paper/1987/file/98f13708210194c475687be6106a3b84-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/98f13708210194c475687be6106a3b84-Abstract.html,
Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,"J. F. Shepanski, S. A. Macy",1987,Abstract Unavailable,https://papers.nips.cc/paper_files/paper/1987/file/9a1158154dfa42caddbd0694a4e9bdc8-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/9a1158154dfa42caddbd0694a4e9bdc8-Abstract.html,Machine Learning and Deep Learning
Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons,Eberhard Fetz,1987,"Intracellular  recordings  in  spinal  cord  motoneurons  and  cerebral  cortex neurons have provided new evidence on the correlational strength of  monosynaptic  connections,  and  the  relation  between  the  shapes  of  postsynaptic  potentials  and  the  associated  increased  firing  probability.  In  these  cells,  excitatory  postsynaptic  potentials  (EPSPs)  produce  cross(cid:173) correlogram peaks  which resemble  in large part the derivative of  the EPSP.  Additional  synaptic  noise broadens  the peak,  but the  peak  area  -- i.e.,  the  number of above-chance firings triggered per EPSP -- remains proportional to  the EPSP  amplitude.  A typical EPSP of 100  ~v triggers about .01  firings per  EPSP.  The  consequences  of  these  data  for  information  processing  by  polysynaptic connections is discussed.  The effects of sequential polysynaptic  links  can  be  calculated  by  convolving  the  effects  of  the  underlying  monosynaptic connections.  The net effect of parallel pathways is the sum of  the individual contributions.",https://papers.nips.cc/paper_files/paper/1987/file/9bf31c7ff062936a96d3c8bd1f8f2ff3-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/9bf31c7ff062936a96d3c8bd1f8f2ff3-Abstract.html,Machine Learning and Deep Learning
"Discovering Structure from Motion in Monkey, Man and Machine",Ralph Siegel,1987,"The ability to obtain three-dimensional structure from visual motion is  important for survival of human and non-human primates. Using a parallel process(cid:173) ing model, the current work explores how the biological visual system might solve  this problem and how the neurophysiologist might go about understanding the  solution.",https://papers.nips.cc/paper_files/paper/1987/file/9f61408e3afb633e50cdf1b20de6f466-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/9f61408e3afb633e50cdf1b20de6f466-Abstract.html,Ethics and Fairness in AI
Static and Dynamic Error Propagation Networks with Application to Speech Coding,"A. Robinson, F. Fallside",1987,"Error propagation nets have been shown to be able to learn a variety of tasks in  which a static input pattern is mapped outo a static output pattern. This paper  presents a generalisation of these nets to deal with time varying, or dynamic  patterns, and three possible architectures are explored. As an example, dynamic  nets are applied to tbe problem of speech coding, in which a time sequence of  speech data are coded by one net and decoded by another. The use of dynamic  nets gives a better signal to noise ratio than that achieved using static nets.",https://papers.nips.cc/paper_files/paper/1987/file/a1d0c6e83f027327d8461063f4ac58a6-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a1d0c6e83f027327d8461063f4ac58a6-Abstract.html,
Schema for Motor Control Utilizing a Network Model of the Cerebellum,James Houk,1987,"This  paper  outlines  a  schema  for  movement  control  based  on  two  stages  of  signal  processing.  The  higher  stage  is  a  neural  network  model  that  treats  the  cerebellum  as  an  array  of  adjustable  motor  pattern  generators.  This  network  uses  sensory  input  to  preset  and  to  trigger  elemental  pattern  generators  and  to  evaluate  their  performance.  The  actual  patterned  outputs,  however,  are  produced  by  intrin(cid:173) sic  circuitry  that  includes  recurrent  loops  and  is  thus  capable  of  self-sustained  activity.  These  patterned  outputs  are  sent  as  motor  commands  to  local  feedback  systems  called  motor  servos.  The  latter  control  the  forces  and  lengths  of  individual  muscles.  Overall  control  is  thus  achieved  in  two  stages:  (1)  an  adaptive  cerebellar  network  generates  an  array  of  feedforward  motor  commands  and  (2)  a  set  of  local  feedback  systems  translates  these  commands  into  actual  movements.",https://papers.nips.cc/paper_files/paper/1987/file/a3f390d88e4c41f2747bfa2f1b5f87db-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a3f390d88e4c41f2747bfa2f1b5f87db-Abstract.html,
Distributed Neural Information Processing in the Vestibulo-Ocular System,"Clifford Lau, Vicente Honrubia",1987,"A new distributed neural information-processing  model is proposed to explain the response characteristics  of the vestibulo-ocular system and to reflect more  accurately the latest anatomical and neurophysiological  data on the vestibular afferent fibers and vestibular nuclei.  In this model, head motion is sensed topographically by hair  cells in the semicircular canals. Hair cell signals are then  processed by multiple synapses in the primary afferent  neurons which exhibit a continuum of varying dynamics. The  model is an application of the concept of ""multilayered""  neural networks to the description of findings in the  bullfrog vestibular nerve, and allows us to formulate  mathematically the behavior of an assembly of neurons  whose physiological characteristics vary according to their  anatomical properties.",https://papers.nips.cc/paper_files/paper/1987/file/a5771bce93e200c36f7cd9dfd0e5deaa-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a5771bce93e200c36f7cd9dfd0e5deaa-Abstract.html,
Time-Sequential Self-Organization of Hierarchical Neural Networks,"Ronald Silverman, Andrew Noetzel",1987,"Self-organization  of  multi-layered  networks  can  be  realized  time-sequential  organization  of  successive  neural  layers.  by  Lateral  inhibition  operating  in  the  surround  of  firing  cells  in  each  for  unsupervised  capture  of  excitation  patterns  presented  by  the  previous  layer.  By  presenting  patterns  of  organization,  higher  implicit  in  the  pattern  set.  in  co-ordination  with  network  self(cid:173) the  hierarchy  capture  concepts  increasing  complexity,",https://papers.nips.cc/paper_files/paper/1987/file/a5bfc9e07964f8dddeb95fc584cd965d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a5bfc9e07964f8dddeb95fc584cd965d-Abstract.html,
A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,"John Wyatt, D. Standley",1987,"In  the  analog  VLSI  implementation  of  neural  systems,  it is  sometimes  convenient  to  build  lateral  inhibition  networks  by  using  a  locally  connected  on-chip  resistive  grid.  A  serious  problem  of  unwanted  spontaneous  oscillation  often  arises  with  these  circuits  and  renders  them  unusable  in  practice.  This  paper  reports  a  design  approach  that  guarantees  such  a  system  will  be  stable,  even  though  the  values  of  designed  elements  and  parasitic  elements  in  the  resistive  grid  may  be  unknown.  The  method  is  based  on  a  rigorous,  somewhat  novel  mathematical  analysis  using  Tellegen's  theorem  and  the  idea  of  Popov  multipliers  from  control  theory.  It  is  thoroughly  practical  because  the  criteria  are  local  in  the  sense  that  no  overall  analysis  of  the  interconnected  system  is  required,  empirical  in  the  sense  that  they  involve  only  measurable  frequency  response  data  on  the  individual  cells,  and  robust  in  the  sense  that  unmodelled  parasitic  resistances  and  capacitances  in  the  inter(cid:173) connection  network  cannot  affect  the  analysis.  I.",https://papers.nips.cc/paper_files/paper/1987/file/a684eceee76fc522773286a895bc8436-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a684eceee76fc522773286a895bc8436-Abstract.html,
Constrained Differential Optimization,"John Platt, Alan Barr",1987,"Many optimization models of neural  networks need constraints to restrict the space of outputs to  a subspace which satisfies external criteria.  Optimizations using energy methods yield ""forces"" which  act upon  the  state of the  neural  network.  The penalty method, in which quadratic  energy  constraints  are  added  to  an  existing  optimization  energy,  has  become  popular  recently,  but  is  not  guaranteed  to satisfy  the  constraint conditions  when  there  are  other forces  on  the  neural  model  or when  there  are  multiple constraints.  In this paper, we present the basic differential multiplier method (BDMM),  which  satisfies constraints exactly;  we  create forces  which gradually apply  the constraints over time,  using ""neurons"" that estimate Lagrange multipliers.  The  basic  differential  multiplier  method  is  a  differential  version  of the  method  of multipliers  from  Numerical Analysis.  We  prove  that the differential  equations locally converge  to  a constrained  minimum.  Examples of applications of the differential method of multipliers include enforcing permutation  codewords in the analog decoding problem and enforcing valid tours in the traveling salesman problem.",https://papers.nips.cc/paper_files/paper/1987/file/a87ff679a2f3e71d9181a67b7542122c-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/a87ff679a2f3e71d9181a67b7542122c-Abstract.html,
Encoding Geometric Invariances in Higher-Order Neural Networks,"C. Giles, R. Griffin, T. Maxwell",1987,"We  describe  a  method  of  constructing  higher-order  neural  networks  that  respond  invariantly  under  geometric  transformations  on  the  input  space.  By  requiring  each  unit  to  satisfy  a  set  of  constraints  on  the  interconnection  weights,  a  particular  structure  is  imposed  on  the  network.  A  network  built  using  such  an  architecture  maintains  its  invariant  performance  independent  of  the  values  the  weights  assume,  of  the  learning  rules  used,  and  of  the  form  of  the  nonlinearities  in  the  network.  The  invariance  exhibited  by  a  first(cid:173) order  network  is  usually  of  a  trivial  sort,  e.g.,  responding  only  to  the  average  input  in  the  case  of  translation  invariance,  whereas  higher-order  networks  can  perform  useful  functions  and  still  exhibit  the  invariance.  We  derive  the  weight  constraints  for  translation,  rotation,  scale,  and  several  combinations  of  these  transformations,  and  report  results  of  simulation  studies.",https://papers.nips.cc/paper_files/paper/1987/file/aab3238922bcc25a6f606eb525ffdc56-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/aab3238922bcc25a6f606eb525ffdc56-Abstract.html,
A Novel Net that Learns Sequential Decision Process,"Guo-Zheng Sun, Yee-Chun Lee, Hsing-Hen Chen",1987,We propose a  new  scheme  to construct  neural networks  to classify  pat(cid:173) terns.  The new scheme has several novel features  :,https://papers.nips.cc/paper_files/paper/1987/file/ad61ab143223efbc24c7d2583be69251-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/ad61ab143223efbc24c7d2583be69251-Abstract.html,
Mathematical Analysis of Learning Behavior of Neuronal Models,"John Cheung, Massoud Omidvar",1987,"In  this  paper,  we  wish  to  analyze  the  convergence  behavior  of a  number  of neuronal plasticity models.  Recent neurophysiological research suggests that  the neuronal behavior is adaptive.  In particular, memory stored within a neuron  is  associated with the synaptic weights which are varied or adjusted to achieve  learning.  A  number  of adaptive  neuronal  models  have  been  proposed  in  the  literature.  Three specific models will be analyzed in this paper, specifically the  Hebb model, the Sutton-Barto model, and the most recent trace model.  In this  paper we  will  examine  the conditions  for  convergence,  the  position  of conver(cid:173) gence and the rate at convergence,  of these models  as they applied to classical  conditioning.  Simulation results  are also presented to verify the analysis.",https://papers.nips.cc/paper_files/paper/1987/file/b53b3a3d6ab90ce0268229151c9bde11-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/b53b3a3d6ab90ce0268229151c9bde11-Abstract.html,
New Hardware for Massive Neural Networks,"Darryl Coon, A. Perera",1987,"Transient phenomena associated with forward biased silicon p + - n - n + struc(cid:173) tures at 4.2K show remarkable similarities with biological neurons.  The devices  play  a  role  similar to the  two-terminal switching elements in  Hodgkin-Huxley  equivalent  circuit  diagrams.  The  devices  provide simpler  and  more  realistic  neuron  emulation  than  transistors  or op-amps.  They  have  such  low  power  and  current  requirements  that  they  could  be  used  in  massive  neural  networks.  Some  observed  properties  of  simple  circuits  containing  the  devices  include  action  potentials,  refractory  periods,  threshold behavior, excitation, inhibition, summation over synaptic inputs, synaptic  weights,  temporal  integration, memory,  network  connectivity modification  based  on  experience, pacemaker activity, firing  thresholds, coupling to sensors with graded sig(cid:173) nal  outputs  and  the  dependence  of firing  rate  on input  current.  Transfer functions  for simple artificial neurons with spiketrain inputs and spiketrain outputs have been  measured  and correlated with input coupling.",https://papers.nips.cc/paper_files/paper/1987/file/b6d767d2f8ed5d21a44b0e5886680cb9-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/b6d767d2f8ed5d21a44b0e5886680cb9-Abstract.html,
An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects,"F. Schuling, H. Mastebroek, W. Zaagman",1987,"Recent experimental work on the stimulus velocity dependent time resolving  power of the neural units, situated in the highest order optic ganglion of the  blowfly, revealed the at first sight amazing phenomenon that at this high level of  the fly visual system, the time constants of these units which are involved in the  processing of neural activity evoked by moving objects, are -roughly spoken(cid:173) inverse proportional to the velocity of those objects over an extremely wide range.  In this paper we will discuss the implementation of a two dimensional heterodyne  adaptive filter construction into a computer simulation model. The features of this  simulation model include the ability to account for the experimentally observed  stimulus-tuned adaptive temporal behaviour of time constants in the fly visual  system. The simulation results obtained, clearly show that the application of such  an adaptive processing procedure delivers an improved imaging technique of  moving patterns in the high velocity range.  A FEW REMARKS ON THE FLY VISUAL SYSTEM",https://papers.nips.cc/paper_files/paper/1987/file/c0c7c76d30bd3dcaefc96f40275bdc0a-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c0c7c76d30bd3dcaefc96f40275bdc0a-Abstract.html,
Phase Transitions in Neural Networks,Joshua Chover,1987,"Various  simulat.ions  of  cort.ical  subnetworks  have  evidenced  something  like  phase  transitions  with  respect  to  key  parameters.  We  demonstrate  that.  such  transi t.ions  must.  indeed  exist.  in  analogous  infinite  array  models.  For  related  finite  array  models  classical  phase  transi t.ions  (which  describe  steady-state  behavior)  may  not.  exist.,  but.  there  can  be  distinct. quali tative  changes  in  (""metastable"")  transient  behavior  as  key  system  parameters  pass  through  crit.ical  values .",https://papers.nips.cc/paper_files/paper/1987/file/c16a5320fa475530d9583c34fd356ef5-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c16a5320fa475530d9583c34fd356ef5-Abstract.html,
Using Neural Networks to Improve Cochlear Implant Speech Perception,Manoel Tenorio,1987,"- An  increasing  number  of  profoundly  deaf  patients  suffering  from  sen- sorineural  deafness  are  using  cochlear  implants  as  prostheses.  Mter  the  implant,  sound  can  be  detected  through  the  electrical  stimulation  of  the  remaining  peripheral  auditory  nervous  system.  Although  great  progress  has  been  achieved  in  this  area,  no  useful  speech  recognition  has  been  attained  with either single  or multiple  channel cochlear implants.  Coding  evidence  suggests  that  it  is  necessary  for  any  implant  which  would  effectively  couple  with  the  natural  speech  perception  system  to simu(cid:173) late  the  temporal  dispersion  and  other  phenomena  found  in  the  natural  receptors,  and  currently  not  implemented  in  any  cochlear  implants.  To  this  end,  it  is  presented  here  a  computational  model  using  artificial  neural  net(cid:173) works  cochlear.  the  natural  phenomena",https://papers.nips.cc/paper_files/paper/1987/file/c20ad4d76fe97759aa27a0c99bff6710-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c20ad4d76fe97759aa27a0c99bff6710-Abstract.html,
Self-Organization of Associative Database and Its Applications,"Hisashi Suzuki, Suguru Arimoto",1987,"An  efficient  method  of self-organizing  associative  databases  is  proposed  together  with  applications  to  robot  eyesight  systems.  The  proposed  databases  can  associate  any  input  with  some  output.  In  the  first  half part  of discussion,  an  algorithm of self-organization  is  proposed.  From  an  aspect  of  hardware,  it  produces  a  new  style  of  neural  network.  In  the  latter half part, an applicability to handwritten letter recognition and that to an autonomous  mobile  robot system are demonstrated.",https://papers.nips.cc/paper_files/paper/1987/file/c4ca4238a0b923820dcc509a6f75849b-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c4ca4238a0b923820dcc509a6f75849b-Abstract.html,
Temporal Patterns of Activity in Neural Networks,Paolo Gaudiano,1987,"Patterns  of activity  over  real  neural  structures  are  known  to  exhibit  time(cid:173) dependent  behavior.  It  would  seem  that  the  brain  may  be  capable  of utilizing  temporal  behavior of activity in neural  networks as  a  way  of performing functions  which cannot otherwise be easily implemented.  These might include the origination  of sequential behavior and  the  recognition  of time-dependent  stimuli.  A  model  is  presented  here  which  uses  neuronal  populations  with  recurrent  feedback  connec(cid:173) tions in an attempt to observe and describe  the resulting time-dependent behavior.  Shortcomings and problems inherent  to  this model are  discussed.  Current models  by other  researchers  are  reviewed  and their similarities and differences  discussed.  METHODS  /  PRELIMINARY RESULTS  In previous  papers,[2,3]  computer models  were  presented  that  simulate a  net  con(cid:173) sisting of two spatially organized populations of realistic neurons.  The populations are  richly  interconnected  and  are  shown  to  exhibit  internally  sustained  activity.  It  was  shown that if the neurons have response times significantly shorter than the typical unit  time characteristic of the input  patterns  (usually  1 msec),  the populations will exhibit  time-dependent behavior.  This will typically result in the net falling into a  limit cycle.  By a limit cycle, it is meant that the population falls into activity patterns during which  all of the active cells  fire  in  a  cyclic,  periodic  fashion.  Although  the period of firing  of  the individual  cells  may be  different,  after  a  fixed  time  the  overall population activity  will  repeat  in  a  cyclic,  periodic  fashion.  For  populations  organized  in  7x7  grids,  the  limit  cycle  will  usually  start  20~200 msec  after  the input  is  turned off,  and  its period  will be in  the order of 20-100  msec.  The point ofinterest is that ifthe net is allowed to undergo synaptic modifications by  means  of a  modified  hebbian learning rule  while being presented with a  specific  spatial  pattern (i.e., cells at  specific  spatial locations within the net are externally stimulated),  subsequent  presentations  of the  same  pattern  with  different  temporal  characteristics  will cause the population to recall patterns which are spatially identical (the same cells  will be active)  but which have different  temporal qualities.  In other words, the net can  fall  into a  different  limit  cycle.  These limit cycles  seem  to behave as  attractors in that  similar input  patterns will result  in  the  same limit cycle,  and hence  each distinct limit  cycle  appears  to have a  basin of attraction.  Hence a  net  which can  only learn a  small  © American Institute of Physics 1988  298  number  of spatially  distinct  patterns  can recall  the  patterns in a  number  of temporal  modes.  If it were possible to quantitatively discriminate between such temporal modes,  it  would  seem  reasonable  to  speculate  that  different  limit  cycles  could  correspond  to  different  memory traces.  This would  significantly increase estimates on the  capacity of  memory  storage in the net.  It has  also been shown that a net being presented with a  given pattern will fall and  stay  into  a  limit  cycle  until another  pattern is  presented  which  will  cause  the  system  to fall  into a  different  basin of attraction.  If no other  patterns  are presented,  the  net  will remain in  the  same limit  cycle  indefinitely.  Furthermore, the net  will fall  into the  same  limit  cycle  independently  of the  duration  of the  input  stimulus,  so  long  as  the  input stimulus is  presented for  a  long enough time to raise the population activity level  beyond  a  minimum necessary  to  achieve  self-sustained  activity.  Hence,  if we  suppose  that  the  net  ""recognizes""  the input  when  it  falls  into the  corresponding  limit  cycle,  it  follows  that the net will recognize a string of input patterns regardless of the duration of  each input pattern, so long as each input is presented long enough for the net  to fall into  the  appropriate limit  cycle.  In particular,  our  system is  capable of falling  into  a  limit  cycle within some tens of milliseconds.  This can be fast enough to encode, for example, a  string of phonemes as would typically be found in continuous speech.  It may be possible,  for  instance,  to create a  model  similar  to Rumelhart  and McClelland's  1981  model  on  word recognition by appropriately connecting multiple layers  of these networks.  If the  response  time  of the  cells  were  increased  in  higher  layers,  it may  be  possible  to have  the  lowest  level  respond  to  stimuli  quickly  enough  to  distinguish  phonemes  (or  some  sub-phonemic basic linguistic unit), then have populations from this first  level feed  into  a  slower,  word-recognizing population layer,  and  so  On.  Such a  model  may  be  able  to  perform word  recognition from an input  consisting of continuous phoneme strings even  when  the phonemes  may vary in duration of presentation.",https://papers.nips.cc/paper_files/paper/1987/file/c51ce410c124a10e0db5e4b97fc2af39-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c51ce410c124a10e0db5e4b97fc2af39-Abstract.html,
"Network Generality, Training Required, and Precision Required","John Denker, Ben Wittner",1987,"We  show  how  to estimate  (1)  the  number  of functions  that  can  be implemented  by  a  particular  network  architecture,  (2)  how  much  analog  precision  is  needed  in  the  con(cid:173) nections in the network, and (3) the number of training examples the network must see  before it can  be expected  to form  reliable  generalizations.  Generality versus Training  Data Required  Consider  the following  objectives:  First, the network  should be very  powerful and ver(cid:173) satile,  i.e.,  it  should  implement  any  function  (truth  table)  you  like,  and  secondly,  it  should learn easily, forming  meaningful generalizations from  a small number of training  examples.  Well, it is  information-theoretically impossible to create such a  network.  We  will  present  here a  simplified  argument; a  more complete and sophisticated version can  be found  in  Denker et al.  (1987).  It is  customary to regard learning as  a  dynamical process:  adjusting the weights  (etc.)  in  a  single  network.  In  order  to  derive  the  results  of  this  paper,  however,  we  take  a  different  viewpoint,  which  we  call  the  ensemble  viewpoint.  Imagine  making  a  very  large  number of replicas of the network.  Each  replica has  the same architecture as  the  original,  but  the  weights  are  set  differently  in  each  case.  No  further  adjustment  takes  place;  the  ""learning process""  consists  of winnowing the ensemble of replicas,  searching  for  the one( s)  that satisfy our requirements.  Training proceeds as follows:  We  present each item in  the training set to every network  in  the  ensemble.  That  is,  we  use  the  abscissa of the  training  pattern  as  input  to  the  network,  and  compare  the  ordinate of the  training  pattern  to see  if it  agrees  with  the  actual output  of the  network.  For  each  network,  we  keep  a  score  reflecting  how  many  times (and how badly) it disagreed with a  training item.  Networks with the lowest score  are  the  ones  that  agree  best  with  the  training data.  If we  had  complete  confidence  in  lCurrently  at  NYNEX  Science  and Technology,  500  Westchester Ave.,  White  Plains,  NY  10604  @)  American Institute of Physics 1988  220  the reliability of the training set, we  could at each step simply throwaway all  networks  that disagree.  For definiteness, let us  consider a typical network architecture, with  No input wires and  Nt  units in  each processing layer  I, for  I  E {I·· ·L}.  For simplicity  we  assume NL  =  1.  We  recognize  the  importance of networks  with  continuous-valued  inputs  and  outputs,  but  we  will  concentrate  for  now  on  training  (and  testing)  patterns  that  are  discrete,  with N  ==  No  bits of abscissa and N L =  1 bit of ordinate.  This allows  us to classify  the  networks  into  bins  according  to  what  Boolean  input-output  relation  they  implement,  and simply  consider the ensemble of bins.  If the  network  architecture  is  completely  general  and  There  are  22N  jossible  bins.  powerful,  all  22  functions  will  exist  in  the ensemble of bins.  On  average,  one  expects  that each  training item  will  throwaway  at  most  half of the  bins.  Assuming  maximal  efficiency,  if m  training items are  used,  then  when  m  ~ 2N  there  will  be only one  bin  remaining,  and  that  must  be  the  unique  function  that  consistently  describes  all  the  data.  But there  are  only  2N  possible abscissas  using N  bits.  Therefore a  truly general  network cannot possibly exhibit meaningful generalization - 100% of the possible data  is  needed for  training.  N ow  suppose that the network is not  completely general, so that even  with all  possible  settings of the weights we can only create functions in 250  bins, where So  < 2N.  We call  So  the initial entropy of the network.  A more formal  and general  definition is  given  in  Denker et al.  (1987).  Once again, we  can use the training data to winnow the ensemble,  and when  m  ~ So,  there will be only one remaining bin.  That function  will presumably  generalize correctly to the remaining 2N - m  possible patterns.  Certainly that function  is  the best we can do with the network architecture and the training data we were given.  The  usual  problem  with  automatic  learning  is  this:  If the  network  is  too  general,  So  will  be large, and an inordinate amount of training data will be required.  The required  amount of data may be simply unavailable, or it may be so large that training would be  prohibitively time-consuming.  The shows the critical importance of building a  network  that is  not more general  than  necessary.  Estimating the Entropy  In real engineering situations, it is  important to be able to estimate the initial entropy  of various proposed designs, since that determines the amount of training data that will  be required.  Calculating So  directly from  the definition is prohibitively difficult, but we  can  use the definition to derive useful  approximate expressions.  (You  wouldn't want to  calculate the thermodynamic entropy of a  bucket of water directly  from  the definition,  either. )  221  Suppose  that  the  weights  in  the  network  at  each  connection  i  were  not  continuously  adjustable real numbers, but rather were specified by a  discrete code with bi  bits.  Then  the total number of bits required  to specify  the configuration  of the network is  (1)  Now the total number offunctions that could possibly be implemented by such a network  architecture would  be at most 2B.  The actual number will  always be smaller than this,  since there are various ways in which different settings of the weights can lead to identical  functions  (bins).  For one  thing, for  each  hidden layer 1 E {1··· L-1}, the numbering of  the  hidden units can be permuted, and the polarity of the hidden units can be flipped,  which  means  that  250  is  less  than  2B  by  a  factor  (among  others)  of III Nl! 2N ,.  In  addition,  if there  is  an  inordinately  large  number  of bits  bi  at  each  connection,  there  will  be  many  settings  where  small  changes  in  the connection  will  be immaterial.  This  will  make 2so  smaller by an additional factor.  We expect  aSO/abi  ~ 1 when bi is small,  and aSO/abi  ~ 0 when  bi  is  large;  we  must now  figure  out  where the crossover occurs.  The number of ""useful and significant"" bits of precision, which we designate b   ~ log(N/S).  Note:  our  calculation  does  not  involve  the  dynamics  of  the  learning  process.  Some  numerical methods (including versions of back propagation) commonly require a number  of temporary  ""guard bits""  on  each  weight,  as  pointed  out  by  llichard  Durbin  (private  communication).  Another log N  bits ought  to suffice.  These bits  are  not  needed  after  learning is  complete, and do not contribute to So.  If we combine these ideas and apply them to a  network with N  units in each layer, fully  connected,  we  arrive  at  the  following  expression  for  the  number  of  different  Boolean  functions  that  can be implemented by such a  network:",https://papers.nips.cc/paper_files/paper/1987/file/c74d97b01eae257e44aa9d5bade97baf-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c74d97b01eae257e44aa9d5bade97baf-Abstract.html,
High Order Neural Networks for Efficient Associative Memory Design,"Gérard Dreyfus, Isabelle Guyon, Jean-Pierre Nadal, Léon Personnaz",1987,We  propose  learning  rules  for  recurrent  neural  networks  with  high-order  interactions  between  some or all  neurons.  The designed  networks  exhibit the  desired associative  memory  function: perfect  storage  and  retrieval  of pieces  of information and/or sequences of information of any complexity.,https://papers.nips.cc/paper_files/paper/1987/file/c7e1249ffc03eb9ded908c236bd1996d-Paper.pdf,https://papers.nips.cc/paper_files/paper/1987/hash/c7e1249ffc03eb9ded908c236bd1996d-Abstract.html,
